p,s,b,E
6.60,1,3,2048.0
4.05,1,4,1024.0
2.50,1,5,512.0
1.65,1,6,256.0
1.16,1,7,128.0
0.96,1,8,64.0
1.19,1,9,32.0
2.40,1,10,16.0
3.60,1,11,8.0
6.82,1,12,4.0
10.99,1,13,2.0
25.73,1,14,1.0
6.60,2,3,1024.0
4.05,2,4,512.0
2.51,2,5,256.0
1.65,2,6,128.0
1.16,2,7,64.0
0.96,2,8,32.0
1.27,2,9,16.0
2.32,2,10,8.0
4.05,2,11,4.0
7.54,2,12,2.0
15.23,2,13,1.0
6.60,3,3,512.0
4.05,3,4,256.0
2.51,3,5,128.0
1.65,3,6,64.0
1.17,3,7,32.0
1.01,3,8,16.0
1.39,3,9,8.0
2.69,3,10,4.0
5.15,3,11,2.0
10.12,3,12,1.0
6.60,4,3,256.0
4.05,4,4,128.0
2.51,4,5,64.0
1.66,4,6,32.0
1.19,4,7,16.0
1.10,4,8,8.0
1.69,4,9,4.0
3.68,4,10,2.0
7.69,4,11,1.0
6.60,5,3,128.0
4.05,5,4,64.0
2.52,5,5,32.0
1.67,5,6,16.0
1.21,5,7,8.0
1.33,5,8,4.0
2.54,5,9,2.0
5.83,5,10,1.0
6.61,6,3,64.0
4.05,6,4,32.0
2.53,6,5,16.0
1.67,6,6,8.0
1.37,6,7,4.0
1.97,6,8,2.0
3.80,6,9,1.0
6.62,7,3,32.0
4.07,7,4,16.0
2.54,7,5,8.0
1.81,7,6,4.0
1.69,7,7,2.0
3.16,7,8,1.0
6.63,8,3,16.0
4.09,8,4,8.0
2.57,8,5,4.0
2.07,8,6,2.0
2.71,8,7,1.0
6.66,9,3,8.0
4.13,9,4,4.0
2.81,9,5,2.0
2.93,9,6,1.0
6.71,10,3,4.0
4.31,10,4,2.0
3.58,10,5,1.0
6.84,11,3,2.0
4.76,11,4,1.0
7.30,12,3,1.0
4.44,1,3,2048.0
2.73,1,4,1024.0
1.47,1,5,512.0
0.81,1,6,256.0
0.47,1,7,128.0
0.72,1,8,64.0
0.78,1,9,32.0
21.22,1,10,16.0
12.90,1,11,8.0
6.50,1,12,4.0
13.99,1,13,2.0
38.61,1,14,1.0
4.44,2,3,1024.0
2.73,2,4,512.0
1.47,2,5,256.0
0.81,2,6,128.0
0.47,2,7,64.0
0.62,2,8,32.0
0.77,2,9,16.0
21.22,2,10,8.0
12.90,2,11,4.0
8.86,2,12,2.0
24.65,2,13,1.0
4.44,3,3,512.0
2.73,3,4,256.0
1.47,3,5,128.0
0.81,3,6,64.0
0.47,3,7,32.0
0.55,3,8,16.0
1.36,3,9,8.0
21.27,3,10,4.0
13.74,3,11,2.0
14.75,3,12,1.0
4.44,4,3,256.0
2.73,4,4,128.0
1.47,4,5,64.0
0.81,4,6,32.0
0.46,4,7,16.0
0.58,4,8,8.0
1.91,4,9,4.0
19.79,4,10,2.0
17.15,4,11,1.0
4.44,5,3,128.0
2.73,5,4,64.0
1.47,5,5,32.0
0.81,5,6,16.0
0.48,5,7,8.0
0.61,5,8,4.0
12.41,5,9,2.0
18.98,5,10,1.0
4.44,6,3,64.0
2.73,6,4,32.0
1.47,6,5,16.0
0.83,6,6,8.0
0.55,6,7,4.0
1.90,6,8,2.0
9.73,6,9,1.0
4.44,7,3,32.0
2.73,7,4,16.0
1.47,7,5,8.0
0.88,7,6,4.0
1.40,7,7,2.0
2.38,7,8,1.0
4.43,8,3,16.0
2.72,8,4,8.0
1.54,8,5,4.0
2.11,8,6,2.0
2.17,8,7,1.0
4.41,9,3,8.0
2.80,9,4,4.0
3.44,9,5,2.0
2.36,9,6,1.0
4.57,10,3,4.0
6.01,10,4,2.0
3.33,10,5,1.0
11.05,11,3,2.0
5.32,11,4,1.0
9.09,12,3,1.0
